Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",46194,(+/- 3636 ),41346,(+/- 3259 ),46055,(+/- 3705 ),21120,(+/- 2188 ),25926,(+/- 2583 ),21268,(+/- 2133 ),26462,(+/- 2713 ),29405,(+/- 2830 ),34569,(+/- 3237 ),39356,(+/- 2636 ),34197,(+/- 2757 ),47543,(+/- 3636 ),30420,(+/- 2542 ),36334,(+/- 2451 ),35131,(+/- 2762 ),36503,(+/- 2505 )
Workers,Industry,"Educational services, and health care and social assistance",89755,(+/- 4315 ),84692,(+/- 4738 ),93297,(+/- 5239 ),75431,(+/- 3458 ),86348,(+/- 3724 ),78110,(+/- 3604 ),81214,(+/- 4196 ),77490,(+/- 3638 ),78201,(+/- 4598 ),84662,(+/- 4328 ),84940,(+/- 3847 ),91546,(+/- 4857 ),88616,(+/- 4582 ),84311,(+/- 4174 ),99146,(+/- 4202 ),84227,(+/- 4435 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",31798,(+/- 3059 ),30663,(+/- 2916 ),42061,(+/- 3846 ),26671,(+/- 2503 ),27396,(+/- 2547 ),24350,(+/- 2856 ),27775,(+/- 3010 ),34419,(+/- 3413 ),42490,(+/- 3569 ),30996,(+/- 3060 ),30029,(+/- 3279 ),35860,(+/- 3253 ),34979,(+/- 3807 ),27605,(+/- 3195 ),31927,(+/- 2949 ),33204,(+/- 3800 )
Workers,Industry,"Other services, except public administration",16482,(+/- 2192 ),13133,(+/- 1838 ),16975,(+/- 2363 ),15458,(+/- 1857 ),14593,(+/- 1534 ),15149,(+/- 1718 ),17718,(+/- 2394 ),14493,(+/- 1795 ),15495,(+/- 1898 ),16665,(+/- 1949 ),15425,(+/- 2223 ),17647,(+/- 2193 ),14674,(+/- 1992 ),16499,(+/- 2048 ),13000,(+/- 1766 ),16489,(+/- 2032 )
Workers,Industry,Public administration,14180,(+/- 2157 ),11397,(+/- 1833 ),14783,(+/- 2494 ),12527,(+/- 1605 ),10897,(+/- 1386 ),10095,(+/- 1495 ),11183,(+/- 1717 ),12188,(+/- 1771 ),11435,(+/- 1847 ),20224,(+/- 2338 ),11918,(+/- 1639 ),14995,(+/- 1776 ),11962,(+/- 1793 ),10928,(+/- 1431 ),19118,(+/- 2366 ),14028,(+/- 2574 )
Workers,Class of Worker,Civilian employed population 16 years and over,366981,(+/- 5799 ),360434,(+/- 7748 ),406913,(+/- 9381 ),336888,(+/- 5087 ),355252,(+/- 5903 ),296325,(+/- 5733 ),348283,(+/- 6756 ),350488,(+/- 6050 ),343545,(+/- 8403 ),341777,(+/- 4994 ),302954,(+/- 7311 ),395819,(+/- 8005 ),339182,(+/- 7958 ),361562,(+/- 6529 ),366636,(+/- 6984 ),364402,(+/- 8204 )
Workers,Class of Worker,Private wage and salary workers,307651,(+/- 6208 ),305520,(+/- 7561 ),344898,(+/- 9404 ),284720,(+/- 5605 ),297829,(+/- 7042 ),247261,(+/- 5611 ),289071,(+/- 7050 ),295256,(+/- 6294 ),293963,(+/- 7398 ),277756,(+/- 4928 ),252504,(+/- 7613 ),324166,(+/- 8360 ),284317,(+/- 8144 ),306744,(+/- 6148 ),285291,(+/- 6104 ),306088,(+/- 7582 )
Workers,Class of Worker,Government workers,41047,(+/- 2932 ),37621,(+/- 2936 ),46323,(+/- 4171 ),37050,(+/- 2625 ),40986,(+/- 3099 ),33715,(+/- 2895 ),37853,(+/- 3384 ),36969,(+/- 3055 ),34983,(+/- 3131 ),48031,(+/- 3654 ),36833,(+/- 3000 ),46984,(+/- 4021 ),39363,(+/- 2911 ),36826,(+/- 2476 ),64436,(+/- 3808 ),39826,(+/- 3452 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,17925,(+/- 2471 ),16311,(+/- 2188 ),15415,(+/- 2341 ),14702,(+/- 1942 ),15607,(+/- 1985 ),15073,(+/- 1890 ),20748,(+/- 2501 ),17908,(+/- 2134 ),13855,(+/- 1976 ),15018,(+/- 1963 ),13438,(+/- 1939 ),23026,(+/- 2992 ),15334,(+/- 1984 ),17424,(+/- 1972 ),16470,(+/- 2228 ),17808,(+/- 2185 )
Workers,Class of Worker,Unpaid family workers,358,(+/- 241 ),982,(+/- 596 ),277,(+/- 206 ),416,(+/- 230 ),830,(+/- 417 ),276,(+/- 201 ),611,(+/- 362 ),355,(+/- 287 ),744,(+/- 409 ),972,(+/- 411 ),179,(+/- 124 ),1643,(+/- 965 ),168,(+/- 164 ),568,(+/- 374 ),439,(+/- 328 ),680,(+/- 369 )
Housing,Housing Occupancy,Total housing units,325907,(+/- 3292 ),329846,(+/- 3124 ),346335,(+/- 4138 ),308297,(+/- 2439 ),313442,(+/- 2890 ),324038,(+/- 2629 ),309763,(+/- 3488 ),305679,(+/- 949 ),355693,(+/- 5447 ),336812,(+/- 1434 ),365353,(+/- 5175 ),322347,(+/- 3807 ),337529,(+/- 4574 ),313876,(+/- 3580 ),315796,(+/- 3519 ),306904,(+/- 4718 )
Housing,Housing Occupancy,Occupied housing units,294505,(+/- 3985 ),298409,(+/- 4206 ),316961,(+/- 4856 ),277353,(+/- 3481 ),289660,(+/- 3747 ),275828,(+/- 3810 ),285123,(+/- 3947 ),282277,(+/- 2904 ),303955,(+/- 5726 ),300596,(+/- 3759 ),304410,(+/- 5341 ),293383,(+/- 4120 ),298600,(+/- 5432 ),286240,(+/- 3811 ),290228,(+/- 3995 ),287919,(+/- 4377 )
Housing,Housing Occupancy,Vacant housing units,31402,(+/- 3297 ),31437,(+/- 3324 ),29374,(+/- 2897 ),30944,(+/- 2789 ),23782,(+/- 2748 ),48210,(+/- 3520 ),24640,(+/- 2588 ),23402,(+/- 2717 ),51738,(+/- 3855 ),36216,(+/- 3369 ),60943,(+/- 4161 ),28964,(+/- 3355 ),38929,(+/- 3934 ),27636,(+/- 2782 ),25568,(+/- 3017 ),18985,(+/- 3060 )
Housing,Housing Occupancy,Homeowner vacancy rate,1,(+/- 0.4 ),1.1,(+/- 0.5 ),0.8,(+/- 0.5 ),0.6,(+/- 0.3 ),1,(+/- 0.4 ),1.3,(+/- 0.4 ),1.1,(+/- 0.4 ),1.1,(+/- 0.5 ),2.1,(+/- 0.6 ),1.8,(+/- 0.6 ),1.7,(+/- 0.5 ),0.7,(+/- 0.3 ),2.2,(+/- 0.6 ),1.1,(+/- 0.4 ),1,(+/- 0.4 ),0.7,(+/- 0.3 )
Housing,Housing Occupancy,Rental vacancy rate,6.3,(+/- 1.4 ),4,(+/- 1.1 ),4,(+/- 1.0 ),6.1,(+/- 1.4 ),4.7,(+/- 1.6 ),9,(+/- 2.1 ),3.8,(+/- 1.3 ),3.1,(+/- 1.0 ),5.6,(+/- 1.1 ),5.7,(+/- 1.2 ),8,(+/- 1.1 ),5.7,(+/- 1.7 ),6.6,(+/- 1.6 ),6.1,(+/- 1.8 ),4.5,(+/- 1.5 ),5,(+/- 1.7 )
Housing,Housing Tenure,Occupied housing units,294505,(+/- 3985 ),298409,(+/- 4206 ),316961,(+/- 4856 ),277353,(+/- 3481 ),289660,(+/- 3747 ),275828,(+/- 3810 ),285123,(+/- 3947 ),282277,(+/- 2904 ),303955,(+/- 5726 ),300596,(+/- 3759 ),304410,(+/- 5341 ),293383,(+/- 4120 ),298600,(+/- 5432 ),286240,(+/- 3811 ),290228,(+/- 3995 ),287919,(+/- 4377 )
Housing,Housing Tenure,Owner-occupied,181560,(+/- 4234 ),196967,(+/- 4845 ),144153,(+/- 4580 ),195487,(+/- 3519 ),211003,(+/- 4182 ),205077,(+/- 3710 ),207811,(+/- 4231 ),191318,(+/- 4109 ),177148,(+/- 4917 ),182759,(+/- 4539 ),145970,(+/- 4392 ),208970,(+/- 4388 ),191984,(+/- 4827 ),223363,(+/- 4006 ),203901,(+/- 3785 ),218755,(+/- 4483 )
Housing,Housing Tenure,Renter-occupied,112945,(+/- 5081 ),101442,(+/- 4014 ),172808,(+/- 5080 ),81866,(+/- 3154 ),78657,(+/- 3713 ),70751,(+/- 3362 ),77312,(+/- 3217 ),90959,(+/- 4207 ),126807,(+/- 4759 ),117837,(+/- 3863 ),158440,(+/- 5302 ),84413,(+/- 3215 ),106616,(+/- 5066 ),62877,(+/- 3179 ),86327,(+/- 3888 ),69164,(+/- 3592 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.61,(+/- 0.04 ),2.57,(+/- 0.05 ),2.61,(+/- 0.07 ),2.51,(+/- 0.04 ),2.53,(+/- 0.03 ),2.5,(+/- 0.04 ),2.6,(+/- 0.04 ),2.62,(+/- 0.04 ),2.36,(+/- 0.04 ),2.38,(+/- 0.04 ),2.3,(+/- 0.05 ),2.78,(+/- 0.04 ),2.36,(+/- 0.05 ),2.59,(+/- 0.03 ),2.62,(+/- 0.04 ),2.58,(+/- 0.04 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.16,(+/- 0.05 ),2.14,(+/- 0.08 ),2.39,(+/- 0.06 ),2.31,(+/- 0.08 ),2.1,(+/- 0.07 ),2.27,(+/- 0.08 ),2.31,(+/- 0.07 ),2.35,(+/- 0.07 ),2.25,(+/- 0.07 ),2.21,(+/- 0.05 ),2.01,(+/- 0.05 ),2.24,(+/- 0.07 ),2.2,(+/- 0.06 ),2.09,(+/- 0.10 ),2.26,(+/- 0.09 ),2.07,(+/- 0.10 )
Housing,Year Householder Moved into Unit,Occupied housing units,294505,(+/- 3985 ),298409,(+/- 4206 ),316961,(+/- 4856 ),277353,(+/- 3481 ),289660,(+/- 3747 ),275828,(+/- 3810 ),285123,(+/- 3947 ),282277,(+/- 2904 ),303955,(+/- 5726 ),300596,(+/- 3759 ),304410,(+/- 5341 ),293383,(+/- 4120 ),298600,(+/- 5432 ),286240,(+/- 3811 ),290228,(+/- 3995 ),287919,(+/- 4377 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,59694,(+/- 4242 ),55850,(+/- 3706 ),85638,(+/- 5356 ),43299,(+/- 2927 ),47885,(+/- 3671 ),32902,(+/- 2549 ),44276,(+/- 3252 ),51097,(+/- 3166 ),58357,(+/- 3921 ),61898,(+/- 3567 ),63907,(+/- 3451 ),51158,(+/- 3271 ),52669,(+/- 3860 ),37936,(+/- 2667 ),52019,(+/- 3480 ),44445,(+/- 3223 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,50701,(+/- 3389 ),48911,(+/- 3148 ),65347,(+/- 4811 ),42998,(+/- 2652 ),38556,(+/- 3106 ),34687,(+/- 2700 ),38799,(+/- 3156 ),42761,(+/- 2643 ),54628,(+/- 3792 ),48196,(+/- 3285 ),53929,(+/- 3712 ),47626,(+/- 2901 ),44269,(+/- 3528 ),39634,(+/- 2944 ),45396,(+/- 3124 ),36983,(+/- 3110 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,53935,(+/- 3671 ),53767,(+/- 3439 ),58112,(+/- 4017 ),47842,(+/- 2518 ),52296,(+/- 3104 ),44399,(+/- 3414 ),47929,(+/- 3204 ),49995,(+/- 3434 ),51859,(+/- 3499 ),53371,(+/- 3760 ),54899,(+/- 3796 ),55936,(+/- 3599 ),52543,(+/- 3185 ),48527,(+/- 3588 ),51043,(+/- 3404 ),50996,(+/- 3734 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,63444,(+/- 3443 ),63567,(+/- 4015 ),55804,(+/- 3691 ),61710,(+/- 3274 ),61890,(+/- 3361 ),65738,(+/- 3303 ),68254,(+/- 3837 ),62808,(+/- 2724 ),58413,(+/- 3086 ),59092,(+/- 3781 ),53654,(+/- 3141 ),68563,(+/- 3562 ),59737,(+/- 3000 ),64100,(+/- 3630 ),64643,(+/- 3378 ),65754,(+/- 3276 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,32455,(+/- 2039 ),37686,(+/- 2843 ),26321,(+/- 2640 ),37386,(+/- 2315 ),40712,(+/- 2688 ),41123,(+/- 2684 ),40157,(+/- 2791 ),36326,(+/- 2103 ),35587,(+/- 2488 ),36867,(+/- 2741 ),33425,(+/- 2598 ),34382,(+/- 2347 ),37709,(+/- 2680 ),41929,(+/- 2542 ),37390,(+/- 2519 ),41781,(+/- 2762 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,34276,(+/- 2339 ),38628,(+/- 2659 ),25739,(+/- 2221 ),44118,(+/- 2203 ),48321,(+/- 2219 ),56979,(+/- 2726 ),45708,(+/- 2662 ),39290,(+/- 2287 ),45111,(+/- 3008 ),41172,(+/- 2209 ),44596,(+/- 2664 ),35718,(+/- 2710 ),51673,(+/- 2795 ),54114,(+/- 3066 ),39737,(+/- 2203 ),47960,(+/- 2226 )
Housing,Value,Owner-occupied units,181560,(+/- 4234 ),196967,(+/- 4845 ),144153,(+/- 4580 ),195487,(+/- 3519 ),211003,(+/- 4182 ),205077,(+/- 3710 ),207811,(+/- 4231 ),191318,(+/- 4109 ),177148,(+/- 4917 ),182759,(+/- 4539 ),145970,(+/- 4392 ),208970,(+/- 4388 ),191984,(+/- 4827 ),223363,(+/- 4006 ),203901,(+/- 3785 ),218755,(+/- 4483 )
Housing,Value,"Less than $50,000",7814,(+/- 1197 ),12626,(+/- 1858 ),10525,(+/- 1401 ),16541,(+/- 1600 ),15399,(+/- 1603 ),28593,(+/- 2049 ),16031,(+/- 1835 ),15756,(+/- 1791 ),22513,(+/- 2088 ),15518,(+/- 1758 ),25592,(+/- 2125 ),9448,(+/- 1557 ),29395,(+/- 2156 ),9130,(+/- 1258 ),12570,(+/- 1510 ),8891,(+/- 1389 )
Housing,Value,"$50,000 to $99,999",28002,(+/- 2168 ),32938,(+/- 3081 ),30168,(+/- 2827 ),49948,(+/- 2441 ),42017,(+/- 2609 ),59409,(+/- 3103 ),41850,(+/- 2665 ),35088,(+/- 2690 ),59055,(+/- 3818 ),43435,(+/- 2822 ),46324,(+/- 2886 ),19099,(+/- 2215 ),60568,(+/- 3024 ),25154,(+/- 2151 ),26045,(+/- 1975 ),17421,(+/- 1980 )
Housing,Value,"$100,000 to $149,999",38531,(+/- 3125 ),43300,(+/- 3044 ),37976,(+/- 3429 ),49212,(+/- 2970 ),51546,(+/- 2753 ),45522,(+/- 2917 ),45662,(+/- 2685 ),39414,(+/- 2319 ),42239,(+/- 2729 ),39748,(+/- 2752 ),22827,(+/- 2148 ),27605,(+/- 2328 ),44804,(+/- 3097 ),43250,(+/- 2240 ),34334,(+/- 2716 ),49516,(+/- 3191 )
Housing,Value,"$150,000 to $199,999",30023,(+/- 2324 ),36976,(+/- 2724 ),28879,(+/- 2678 ),33322,(+/- 2106 ),41272,(+/- 2353 ),31062,(+/- 2745 ),38664,(+/- 2644 ),35512,(+/- 2533 ),22672,(+/- 1623 ),34594,(+/- 2849 ),15794,(+/- 1842 ),31419,(+/- 2363 ),28701,(+/- 2116 ),43926,(+/- 2825 ),39518,(+/- 2613 ),56369,(+/- 3565 )
Housing,Value,"$200,000 to $299,999",35806,(+/- 3091 ),35252,(+/- 2621 ),23554,(+/- 2518 ),28740,(+/- 1938 ),40676,(+/- 2395 ),24577,(+/- 2341 ),38653,(+/- 2851 ),41561,(+/- 2706 ),14428,(+/- 1476 ),30498,(+/- 2416 ),16379,(+/- 1713 ),50593,(+/- 2646 ),19492,(+/- 1970 ),55158,(+/- 2730 ),53782,(+/- 2928 ),52161,(+/- 2716 )
Housing,Value,"$300,000 to $499,999",30266,(+/- 2856 ),25066,(+/- 2014 ),8602,(+/- 1511 ),13197,(+/- 1442 ),16312,(+/- 1874 ),12614,(+/- 1628 ),20494,(+/- 1931 ),19508,(+/- 1689 ),11487,(+/- 1456 ),14509,(+/- 1584 ),12694,(+/- 1348 ),53196,(+/- 2718 ),6928,(+/- 1183 ),34801,(+/- 2126 ),28055,(+/- 2050 ),28082,(+/- 2009 )
Housing,Value,"$500,000 to $999,999",9765,(+/- 1463 ),9639,(+/- 1483 ),3502,(+/- 858 ),4157,(+/- 833 ),3233,(+/- 805 ),2507,(+/- 620 ),5052,(+/- 1087 ),3761,(+/- 929 ),3181,(+/- 818 ),3448,(+/- 780 ),5372,(+/- 923 ),16013,(+/- 1971 ),1854,(+/- 641 ),10682,(+/- 1566 ),8173,(+/- 1220 ),5455,(+/- 981 )
Housing,Value,"$1,000,000 or more",1353,(+/- 603 ),1170,(+/- 380 ),947,(+/- 408 ),370,(+/- 175 ),548,(+/- 276 ),793,(+/- 351 ),1405,(+/- 667 ),718,(+/- 349 ),1573,(+/- 658 ),1009,(+/- 452 ),988,(+/- 330 ),1597,(+/- 522 ),242,(+/- 189 ),1262,(+/- 413 ),1424,(+/- 461 ),860,(+/- 354 )
Housing,Value,Median (dollars),173700,(+/- 4300 ),160300,(+/- 3116 ),141800,(+/- 3788 ),130400,(+/- 2681 ),146400,(+/- 3146 ),113500,(+/- 2813 ),150400,(+/- 3223 ),156400,(+/- 3203 ),106700,(+/- 2606 ),140000,(+/- 3675 ),101900,(+/- 4355 ),230800,(+/- 4547 ),106100,(+/- 2965 ),187300,(+/- 3234 ),181500,(+/- 4884 ),174700,(+/- 2531 )
Housing,Mortgage Status,Owner-occupied units,181560,(+/- 4234 ),196967,(+/- 4845 ),144153,(+/- 4580 ),195487,(+/- 3519 ),211003,(+/- 4182 ),205077,(+/- 3710 ),207811,(+/- 4231 ),191318,(+/- 4109 ),177148,(+/- 4917 ),182759,(+/- 4539 ),145970,(+/- 4392 ),208970,(+/- 4388 ),191984,(+/- 4827 ),223363,(+/- 4006 ),203901,(+/- 3785 ),218755,(+/- 4483 )
Housing,Mortgage Status,Housing units with a mortgage,123685,(+/- 3881 ),125873,(+/- 4572 ),101673,(+/- 4505 ),118943,(+/- 3323 ),129876,(+/- 4275 ),102917,(+/- 3752 ),127374,(+/- 4563 ),123880,(+/- 3627 ),105018,(+/- 4408 ),115464,(+/- 4141 ),83109,(+/- 3551 ),142945,(+/- 4384 ),109981,(+/- 3935 ),142256,(+/- 4624 ),131695,(+/- 4039 ),140187,(+/- 4568 )
Housing,Mortgage Status,Housing units without a mortgage,57875,(+/- 2880 ),71094,(+/- 3569 ),42480,(+/- 2819 ),76544,(+/- 2584 ),81127,(+/- 3396 ),102160,(+/- 3579 ),80437,(+/- 3389 ),67438,(+/- 2423 ),72130,(+/- 3641 ),67295,(+/- 3290 ),62861,(+/- 3016 ),66025,(+/- 2969 ),82003,(+/- 4086 ),81107,(+/- 2964 ),72206,(+/- 3375 ),78568,(+/- 3333 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,123685,(+/- 3881 ),125873,(+/- 4572 ),101673,(+/- 4505 ),118943,(+/- 3323 ),129876,(+/- 4275 ),102917,(+/- 3752 ),127374,(+/- 4563 ),123880,(+/- 3627 ),105018,(+/- 4408 ),115464,(+/- 4141 ),83109,(+/- 3551 ),142945,(+/- 4384 ),109981,(+/- 3935 ),142256,(+/- 4624 ),131695,(+/- 4039 ),140187,(+/- 4568 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,835,(+/- 371 ),1234,(+/- 373 ),841,(+/- 397 ),3361,(+/- 626 ),2413,(+/- 613 ),4586,(+/- 942 ),3205,(+/- 750 ),2067,(+/- 592 ),2132,(+/- 657 ),1616,(+/- 445 ),2267,(+/- 735 ),1311,(+/- 449 ),3568,(+/- 954 ),1916,(+/- 539 ),2439,(+/- 780 ),1398,(+/- 485 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,23090,(+/- 2066 ),30315,(+/- 2201 ),29395,(+/- 2764 ),43798,(+/- 2609 ),37650,(+/- 2224 ),44614,(+/- 2849 ),40459,(+/- 3199 ),37146,(+/- 2657 ),43376,(+/- 3436 ),37194,(+/- 2448 ),25925,(+/- 2032 ),22316,(+/- 2177 ),47887,(+/- 3062 ),29833,(+/- 2590 ),28578,(+/- 2817 ),27255,(+/- 2430 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",46133,(+/- 2903 ),44800,(+/- 3403 ),43534,(+/- 3343 ),42731,(+/- 2855 ),51623,(+/- 3315 ),34131,(+/- 2454 ),45772,(+/- 3174 ),44357,(+/- 3030 ),37716,(+/- 2744 ),41172,(+/- 2526 ),28038,(+/- 2172 ),38562,(+/- 2384 ),38313,(+/- 2862 ),49350,(+/- 3008 ),43313,(+/- 3258 ),53219,(+/- 3713 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",26171,(+/- 2937 ),25963,(+/- 2353 ),15909,(+/- 1946 ),18068,(+/- 1745 ),22801,(+/- 2221 ),12412,(+/- 1668 ),22073,(+/- 2258 ),23131,(+/- 1970 ),11980,(+/- 1641 ),20181,(+/- 1957 ),13803,(+/- 1306 ),32566,(+/- 2335 ),13368,(+/- 1602 ),29795,(+/- 2576 ),31636,(+/- 2710 ),33739,(+/- 2428 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",12321,(+/- 1827 ),11432,(+/- 1472 ),7642,(+/- 1661 ),5321,(+/- 1063 ),9593,(+/- 1298 ),4467,(+/- 947 ),9452,(+/- 1586 ),10862,(+/- 1482 ),4617,(+/- 1122 ),7784,(+/- 1292 ),5778,(+/- 995 ),21227,(+/- 2169 ),4543,(+/- 805 ),15502,(+/- 1796 ),12841,(+/- 1562 ),13929,(+/- 1762 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",5753,(+/- 1207 ),5356,(+/- 967 ),2037,(+/- 615 ),2254,(+/- 652 ),3194,(+/- 785 ),1347,(+/- 497 ),3708,(+/- 920 ),3665,(+/- 812 ),2367,(+/- 823 ),3640,(+/- 854 ),2665,(+/- 664 ),13444,(+/- 1604 ),1462,(+/- 632 ),6652,(+/- 1004 ),6609,(+/- 1361 ),5251,(+/- 1060 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",9382,(+/- 1531 ),6773,(+/- 1205 ),2315,(+/- 645 ),3410,(+/- 896 ),2602,(+/- 785 ),1360,(+/- 545 ),2705,(+/- 892 ),2652,(+/- 669 ),2830,(+/- 783 ),3877,(+/- 734 ),4633,(+/- 934 ),13519,(+/- 1489 ),840,(+/- 318 ),9208,(+/- 1327 ),6279,(+/- 1066 ),5396,(+/- 1093 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1406,(+/- 26 ),1321,(+/- 32 ),1220,(+/- 28 ),1127,(+/- 19 ),1207,(+/- 19 ),1029,(+/- 29 ),1190,(+/- 25 ),1229,(+/- 23 ),1072,(+/- 25 ),1204,(+/- 22 ),1204,(+/- 30 ),1632,(+/- 32 ),1037,(+/- 25 ),1393,(+/- 28 ),1396,(+/- 36 ),1383,(+/- 22 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,57875,(+/- 2880 ),71094,(+/- 3569 ),42480,(+/- 2819 ),76544,(+/- 2584 ),81127,(+/- 3396 ),102160,(+/- 3579 ),80437,(+/- 3389 ),67438,(+/- 2423 ),72130,(+/- 3641 ),67295,(+/- 3290 ),62861,(+/- 3016 ),66025,(+/- 2969 ),82003,(+/- 4086 ),81107,(+/- 2964 ),72206,(+/- 3375 ),78568,(+/- 3333 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,1840,(+/- 533 ),7034,(+/- 1267 ),2873,(+/- 792 ),7138,(+/- 1136 ),7424,(+/- 1151 ),15673,(+/- 1714 ),8033,(+/- 1159 ),5876,(+/- 1065 ),5438,(+/- 985 ),4188,(+/- 995 ),6208,(+/- 1062 ),4035,(+/- 962 ),10040,(+/- 1383 ),3792,(+/- 848 ),5248,(+/- 1049 ),3715,(+/- 983 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,10482,(+/- 1435 ),15608,(+/- 1885 ),10716,(+/- 1527 ),26213,(+/- 1917 ),20832,(+/- 1709 ),37816,(+/- 2372 ),27195,(+/- 2151 ),18121,(+/- 1672 ),22842,(+/- 2239 ),17336,(+/- 1795 ),14753,(+/- 1553 ),13064,(+/- 1564 ),26473,(+/- 2359 ),13876,(+/- 1470 ),16713,(+/- 1797 ),14647,(+/- 1456 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,22973,(+/- 2308 ),24423,(+/- 2659 ),16148,(+/- 1966 ),28179,(+/- 1938 ),33727,(+/- 2453 ),32796,(+/- 2231 ),26712,(+/- 2424 ),26230,(+/- 2090 ),27039,(+/- 2624 ),23683,(+/- 1930 ),20702,(+/- 2176 ),16772,(+/- 1827 ),31476,(+/- 2712 ),27437,(+/- 1936 ),23400,(+/- 2167 ),30292,(+/- 2216 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,11384,(+/- 1427 ),12665,(+/- 1551 ),8460,(+/- 1328 ),10059,(+/- 1279 ),11641,(+/- 1530 ),10796,(+/- 1666 ),13403,(+/- 1733 ),11237,(+/- 1600 ),10520,(+/- 1189 ),12141,(+/- 1563 ),10052,(+/- 1519 ),13521,(+/- 1602 ),10190,(+/- 1490 ),21010,(+/- 1991 ),15202,(+/- 1670 ),17462,(+/- 2045 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,6061,(+/- 1288 ),5092,(+/- 1022 ),2350,(+/- 816 ),3004,(+/- 713 ),4035,(+/- 769 ),2907,(+/- 795 ),3177,(+/- 798 ),3598,(+/- 798 ),3056,(+/- 810 ),5061,(+/- 1024 ),4365,(+/- 791 ),8360,(+/- 1210 ),2450,(+/- 764 ),7004,(+/- 1117 ),6106,(+/- 1160 ),7136,(+/- 1128 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",5135,(+/- 930 ),6272,(+/- 1303 ),1933,(+/- 597 ),1951,(+/- 534 ),3468,(+/- 687 ),2172,(+/- 699 ),1917,(+/- 778 ),2376,(+/- 657 ),3235,(+/- 889 ),4886,(+/- 1028 ),6781,(+/- 1003 ),10273,(+/- 1557 ),1374,(+/- 556 ),7988,(+/- 1076 ),5537,(+/- 980 ),5316,(+/- 861 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),538,(+/- 18 ),496,(+/- 15 ),487,(+/- 16 ),431,(+/- 9 ),464,(+/- 9 ),392,(+/- 7 ),432,(+/- 12 ),472,(+/- 12 ),449,(+/- 9 ),497,(+/- 16 ),495,(+/- 15 ),589,(+/- 24 ),423,(+/- 10 ),566,(+/- 13 ),517,(+/- 17 ),539,(+/- 11 )
Housing,Gross Rent,Occupied units paying rent,109781,(+/- 4823 ),95538,(+/- 3848 ),167302,(+/- 5372 ),77142,(+/- 3088 ),74150,(+/- 3620 ),63075,(+/- 3160 ),71519,(+/- 2861 ),85192,(+/- 3962 ),121917,(+/- 4469 ),113012,(+/- 3915 ),151767,(+/- 5235 ),79748,(+/- 3001 ),101462,(+/- 5061 ),57965,(+/- 2925 ),82399,(+/- 3783 ),65429,(+/- 3415 )
Housing,Gross Rent,Less than $500,16092,(+/- 2113 ),12684,(+/- 1991 ),12426,(+/- 1740 ),12814,(+/- 1556 ),10820,(+/- 1876 ),16602,(+/- 1977 ),13228,(+/- 1801 ),10872,(+/- 1582 ),19119,(+/- 2054 ),16945,(+/- 1891 ),26882,(+/- 2486 ),10862,(+/- 1598 ),16324,(+/- 2157 ),5338,(+/- 1216 ),9625,(+/- 1578 ),4202,(+/- 1000 )
